KWDD	Belle River	AK	42-18N	082-42W
KEYW	KEY WEST INTERNATIONAL AIRPORT 	FL	24-33N	81-46W
KMIA	MIAMI INTERNATIONAL AIRPORT 	FL	25-47N	080-19W
KPBI	PALM BEACH INTERNATIONAL	FL	26-41N	80-06W
KMLB	MELBOURNE INTERNATIONAL	FL	28-06N	080-39W
KMCO	ORLANDO INTERNATIONAL AIRPORT 	FL	28-25N	81-20W
KJAX	JACKSONVILLE INTERNATIONAL	FL	30-30N	81-42W
KSAV	SAVANNAH INTERNATIONAL AIRPORT 	GA	32-07N	81-12W
KCHS	CHARLESTON INT'L AIRPORT	SC	32-54N	080-02W
KLHW	Ft. Stewart	GA	31-53N	081-34W
KTBW	Tampa Bay Area	FL	27-42N	082-24W
KTPA	TAMPA INTERNATIONAL AIRPORT 	FL	27-58N	082-32W
KCTY	CROSS CITY AIRPORT	FL	29-38N	083-06W
KAYS	Waycross / Ware County, Ga	GA	31-15N	082-24W
KTLH	TALLAHASSEE REGIONAL AIRPORT 	FL	30-24N	84-21W
KABY	ALBANY SOUTHWEST GEORGIA	GA	31-32N	084-12W
KMCN	MIDDLE GEORGIA REGIONAL AIRPORT 	GA	32-41N	83-39W
KAGS	AUGUSTA BUSH FIELD	GA	33-22N	081-58W
KATL	HARTSFIELD-JACKSON ATLANTA	GA	33-39N	84-26W
KAQQ	Apalachicola, Apalachicola	FL	29-43-37N	085-01-29W
KVPS	Valparaiso / Eglin Air Force Base	FL	30-29N	086-31W
KMOB	MOBILE REGIONAL AIRPORT	AL	30-41N	88-14W
KLSF	Fort Benning	GA	32-20N	084-50W
KMGM	MONTGOMERY DANNELLY FIELD	AL	32-18N	86-24W
KMGE	Marietta / Dobbins Air Force Base	GA	33-55N	084-31W
KBHM	BIRMINGHAM INT'L AIRPORT	AL	33-34N	086-45W
KCKL	Centreville	AL	32-54N	087-15W
KMSY	NEW ORLEANS INTERNATIONAL  AIRPORT	LA	30-00N	90-15W
KBVE	Boothville	LA	29-20N	089-24W
KLIX	Slidell	LA	30-20N	089-49W
KMEI	MERIDIAN KEY FIELD	MS	32-20N	088-45W
KJAN	Jackson, Jackson International Airport	MS	32-19-11N	090-04-39W
KPOE	Fort Polk, Polk AAF Ft Polk	LA	31-03N	093-11-38W
KLCH	LAKE CHARLES REGIONAL AIRPORT 	LA	30-12N	093-23W
KBPT	SOUTHEAST TEXAS RGNL AIRPORT	TX	29-95N	094-08W
KGLS	SCHOLES FIELD	TX	29-16N	094-52W
KIAH	HOUSTON INTERCONTINENTAL	TX	30-00N	095-22W
KGGG	LONGVIEW GREGG COUNTY AIRPORT 	TX	32-23N	094-43W
KSHV	SHREVEPORT REGIONAL AIRPORT	LA	32-27N	93-50W
KFWD	Fort Worth	TX	32-50N	097-18W
KBRO	BROWNSVILLE/SOUTH PADRE IS	TX	25-54N	97-25W
KCRP	CORPUS CHRISTI INTERNATIONAL 	TX	27-46N	97-31W
KLRD	Laredo, Laredo International Airport	TX	27-32-37N	099-27-41W
KSAT	SAN ANTONIO INTERNATIONAL  AIRPORT 	TX	29-32N	098-28W
KATT	CAMP MABRY/AUSTIN CITY ASOS	TX	30-19N	097-46W
KVCT	VICTORIA REGIONAL AIRPORT	TX	28-52N	96-56W
KACT	WACO REGIONAL AIRPORT	TX	31-36N	97-13W
KHLR	Fort Hood, Hood AAF Ft Hood	TX	31-08N	097-42W
KDFW	DALLAS/FT. WORTH INTERNATIONAL  AIRPORT 	TX	32-54N	097-02W
KSEP	Stephenville, Clark Field Municipal Airport	TX	32-13N	098-11W
KDRT	DEL RIO INTERNATIONAL  AIRPORT	TX	29-22N	100-55W
KGDP	GUADALUPE PASS	TX	31-50N	104-49W
KSJT	MATHIS FIELD	TX	31-21N	100-30W
KMRF	Marfa	TX	30-22N	104-01W
KMAF	MIDLAND INTERNATIONAL AIRPORT 	TX	31-56N	102-12W
KABI	ABILENE REGIONAL AIRPORT	TX	32-25N	099-41W
KLBB	LUBBOCK INTERNATIONAL AIRPORT 	TX	33-40N	101-49W
KROW	ROSWELL INDUSTRIAL AIR CENTR	NM	33-18N	104-32W
K2C2	White Sands	NM	32-23N	106-29W
KELP	EL PASO INTERNATIONAL AIRPORT 	TX	31-49N	106-23W
KTCS	TRUTH OR CONSEQUENCES MUNI	NM	33-14N	107-16W
KSVC	Silver City / Grant	NM	32-38N	108-09W
KFHU	Fort Huachuca, Libby AAF Ft Huachuca	AZ	46-98N	110-20W
KTUS	TUCSON INTERNATIONAL AIRPORT 	AZ	32-08N	110-57W
KRQE	WINDOW ROCK AIRPORT	AZ	35-39N	109-04W
KPHX	Phoenix, Phoenix Sky Harbor International Airport	AZ	33-26-03N	112-03-04W
KYUM	Yuma / Yuma International	AZ	32-39N	114-36W
KNJK	El Centro, Naval Air Facility	CA	32-49-30N	115-39-38W
KBJN	Las Vegas, Tonopah Range #74 Nellis AFB	NV	37-37-02	116-15-51W
KRIV	Riverside / March Air Force Base	CA	33-54N	117-15W
KBUR	BURBANK-GLENDALE-PASADENA	CA	34-12N	118-22W
KMWS	Mount Wilson	CA	34-14N	118-04W
KSAN	SAN DIEGO INTERNATIONAL \LINDBERGH FLD	CA	32-44N	117-11W
KNSI	SAN NICOLAS ISLAND	CA	33-14N	119-28W
KAVX	AVALON CATALINA AIRPORT	CA	33-24N	118-25W
KNKX	MCAS MIRAMAR	CA	32-52N	117-09W
KLAX	LOS ANGELES INTERNTL AIRPORT	CA	33-56N	118-23W
KLGB	LONG BEACH AIRPORT	CA	33-49N	118-09W
KPOB	Pope Air Force Base	NC	35-10N	079-02W
KHAT	Cape Hatteras	NC	35-16N	075-33W
KMHX	Newport	NC	34-47N	076-53W
KRDU	RALEIGH-DURHAM INTERNATIONAL  AIRPORT	NC	35-54N	078-46W
KORF	NORFOLK INTERNATIONAL AIRPORT 	VA	36-54N	076-12W
KNKT	Cherry Point, Marine Corps Air Station	NC	34-53-52N	076-52-51W
KCAE	COLUMBIA METROPOLITAN AIRPORT 	SC	33-57N	081-07W
KAHN	ATHENS BEN EPPS AIRPORT	GA	33-57N	083-20W
KGSP	GREER GREENVILLE SPARTBURG	SC	34-53N	82-13W
KCLT	CHARLOTTE/DOUGLAS INTERNATIONAL 	NC	35-13N	80-57W
KAVL	ASHEVILLE REGIONAL AIRPORT	NC	35-26N	82-32W
KGSO	PIEDMONT TRIAD INTERNATIONAL  AIRPORT 	NC	36-06N	079-57W
KRMG	ROME R. B. RUSSELL AIRPORT	GA	34-21N	085-10W
KHSV	HUNTSVILLE INTERNATIONAL  JONES FIELD	AL	34-39N	086-47W
KCHA	LOVELL FIELD	TN	35-02N	085-12W
KTYS	MCGHEE TYSON AIRPORT	TN	35-49N	083-59W
KBNA	NASHVILLE INTERNATIONAL  AIRPORT	TN	36-07N	086-41W
KTUP	TUPELO REGIONAL AIRPORT	MS	34-16N	88-46W
KMEM	MEMPHIS INTERNATIONAL AIRPORT 	TN	35-02N	089-59W
KLZK	North Little Rock, North Little Rock Airport	AR	34-50N	092-15W
KRUE	RUSSELVILLE MUNICIPAL AIRPORT 	AR	35-15N	93-06W
KFSM	FORT SMITH REGIONAL AIRPORT	AR	35-20N	94-22W
KSPS	WICHITA FALLS SHEPPARD AFB	TX	33-59N	98-30W
KLTS	Altus Air Force Base	OK	34-39N	099-16W
KOKC	WILL ROGERS WORLD AIRPORT	OK	35-23N	97-36W
KTIK	Tinker Air Force Base	OK	35-25N	097-23W
KFSI	Fort Sill	OK	34-36N	098-24W
KTUL	TULSA INTERNATIONAL AIRPORT	OK	36-12N	95-53W
KOUN	Norman / Max Westheimer	OK	35-13N	097-27W
KCAO	CLAYTON MUNICIPAL AIRPARK	NM	36-27N	103-09W
KONM	Socorro Municipal	NM	34-01N	106-54W
KAMA	AMARILLO INTERNATIONAL  AIRPORT	TX	35-13N	101-43W
KEPZ	Santa Teresa	NM	31-52N	106-42W
KABQ	ALBUQUERQUE INTERNATIONAL  AIRPORT	NM	35-02N	106-36W
KIGM	KINGMAN AIRPORT	AZ	35-15N	113-56W
KPGA	PAGE MUNICIPAL AIRPORT	AZ	36-56N	111-27W
KINW	WINSLOW MUNICIPAL AIRPORT	AZ	35-02N	110-43W
KEDW	Edwards Air Force Base	CA	34-55N	117-54W
KPMD	PALMDALE PROD FLIGHT PLANT	CA	34-38N	118-05W
KSDB	SANDBERG	CA	34-45N	118-43W
KBFL	BAKERSFIELD MEADOWS FIELD	CA	35-26N	119-03W
KLAS	MCCARRAN INTERNATIONAL AIRPORT 	NV	36-07N	115-16W
KDRA	DESERT ROCK AIRPORT	NV	36-38N	116-02W
KFAT	FRESNO AIR TERMINAL	CA	36-47N	119-43W
K87Q	Point Piedras Blanca	CA	35-39-56N	121-17-05W
KNTD	NAWCWPNS POINT MUGU, CA	CA	34-07N	119-07W
KVBG	Lompoc, Vandenberg Air Force Base	CA	34-43-46N	120-34-36W
KSMX	SANTA MARIA PUBLIC AIRPORT	CA	34-54N	120-28W
KRIC	RICHMOND INTERNATIONAL  AIRPORT	VA	37-31N	077-19W
KWAL	WALLOPS FLIGHT FAC AIRPORT 	VA	37-56N	075-28W
KIAD	DULLES INTERNATIONAL AIRPORT	VA	38-56N	077-27W
KNHK	NAS PATUXENT RIVER MD	MD	38-18N	76-24W
KDCA	WASHINGTON NATIONAL AIRPORT 	VA	38-51N	077-02W
KBWI	BALTIMORE-WASHINGTON INTERNATIONAL 	MD	39-10N	076-41W
KACY	ATLANTIC CITY INTERNATIONAL	NJ	39-28N	74-35W
